Attracts,Bloom Description,Bloom Time,Common Name,Culture,Family,Flower,Formal Name,Fruit,Garden Uses,Height,Invasive,Leaf,Maintenance,Native Range,Noteworthy Characteristics,Other,Problems,Spread,Suggested Use,Sun,Tolerate,Type,Water,Zone
NA, White with pink veins cultivars dark blue, May to June, speedwell,NA, Plantaginaceae, Showy,Veronica peduncularis,NA,NA, 025 to 050 feet,NA,NA, Low, Southeastern Russia southern Ukraine Caucasus Asia Minor,NA,NA,NA, 050 to 100 feet,NA, Full sun, Rabbit Deer, Herbaceous perennial, Medium, 6 to 9
 Butterflies, White, June to July, hardy geranium,NA, Geraniaceae, Showy,Geranium  cantabrigiense St Ola,NA,NA, 100 to 150 feet,NA,NA, Low, Southeastern Russia southern Ukraine Caucasus Asia Minor,NA,NA,NA, 150 to 200 feet, Ground Cover, Full sun to part shade, Rabbit Deer, Herbaceous perennial, Medium, 4 to 8
 Butterflies, White, Nonflowering, beech fern,NA, Thelypteridaceae, Showy,Phegopteris connectilis,NA,NA, 075 to 150 feet,NA,NA, Low, Europe Asia North America,NA,NA,NA, 100 to 300 feet, Naturalize, Part shade to full shade, Rabbit Heavy Shade, Fern, Medium, 2 to 5
 Butterflies, Yellowishgreen, April, English oak,NA, Fagaceae, Insignificant,Quercus robur, Showy,NA, 4000 to 7000 feet, ,NA, Low, Western Asia Europe,NA,NA,NA, 4000 to 7000 feet, Shade Tree, Full sun, Drought, Tree, Medium, 5 to 8
 Butterflies, Greenishwhite, September to November, dogfennel,NA, Asteraceae, Showy,Eupatorium capillifolium, Showy,NA, 300 to 600 feet, ,NA, Low, Southeastern United States,NA,NA,NA, 200 to 300 feet, Naturalize, Full sun to part shade, Drought, Herbaceous perennial, Medium, 6 to 9
 Birds, White, April, bird cherry,NA, Rosaceae, Showy,Prunus avium Stella, Showy Edible,NA, 800 to 1200 feet, ,NA, High, Southeastern United States,NA,NA,NA, 800 to 1000 feet, Naturalize, Full sun, Drought, Fruit, Medium, 5 to 8
 Butterflies, White semidouble, June to September, rose of Sharon,NA, Malvaceae, Showy,Hibiscus syriacus Notwoodtwo WHITE CHIFFON, Showy Edible,NA, 500 to 800 feet, ,NA, Low, Southeastern United States,NA,NA,NA, 400 to 600 feet, Hedge, Full sun to part shade, Deer Drought Clay Soil Black Walnut, Deciduous shrub, Medium, 5 to 8
 Butterflies, White tinged with pink, May to June, creeping cotoneaster,NA, Rosaceae, Showy,Cotoneaster adpressus, Showy,NA, 050 to 100 feet, , Good Fall, Low, China,NA,NA,NA, 400 to 600 feet, Ground Cover Naturalize, Full sun to part shade, Rabbit Drought Erosion Air Pollution, Deciduous shrub, Medium, 4 to 8
 Butterflies, White, February to March, hellebore,NA, Ranunculaceae, Showy,Helleborus Snowbells, Showy,NA, 075 to 100 feet, , Evergreen, Low, China,NA,NA,NA, 100 to 125 feet, Ground Cover Naturalize, Part shade to full shade, Rabbit Deer Heavy Shade, Herbaceous perennial, Medium, 4 to 9
 Butterflies, Red pink purple yellow and white, May to June, poor mans orchid,NA, Solanaceae, Showy,Schizanthus pinnatus, Showy,NA, 100 to 150 feet, , Evergreen, Medium, Chile,NA,NA,NA, 075 to 100 feet, Annual, Full sun to part shade, Rabbit Deer Heavy Shade, Annual, Medium, 2 to 11
